"camis","dba","boro","cuisine_description","inspection_date","action","critical_flag","score","grade","inspection_type","violation_description"
"50144934","IHOP","Queens","American","2026-02-19T00:00:00.000","Violations were cited in the following area(s).","Critical","37",,"Cycle Inspection / Initial Inspection","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation."
"50097252","RELAX","Brooklyn","Eastern European","2023-12-05T00:00:00.000","Violations were cited in the following area(s).","Critical","25",,"Cycle Inspection / Initial Inspection","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored."
"50052226","LITTLE NEGRIL JAMAICAN CUISINE","Bronx","Caribbean","2024-10-03T00:00:00.000","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","Not Critical","62",,"Cycle Inspection / Re-inspection","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests."
"50128784","SUBWAY","Queens","Sandwiches","2023-07-20T00:00:00.000","Violations were cited in the following area(s).","Not Critical","36",,"Pre-permit (Operational) / Initial Inspection","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests."
"41160885","HOP LEE RESTAURANT","Manhattan","Chinese","2026-03-19T00:00:00.000","Violations were cited in the following area(s).","Critical","13","A","Cycle Inspection / Re-inspection","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation."
"50057059","THE SPANIARD","Manhattan","American","2025-10-16T00:00:00.000","Violations were cited in the following area(s).","Not Critical","13","A","Cycle Inspection / Re-inspection","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests."
"50153941","BROAD NOSH BAGELS","Manhattan","Sandwiches/Salads/Mixed Buffet","2024-07-01T00:00:00.000","Violations were cited in the following area(s).","Not Critical",,,"Administrative Miscellaneous / Initial Inspection","Failure to post or conspicuously post healthy eating information"
"50166155","FIGO PIZZA","Brooklyn","Pizza","2025-08-04T00:00:00.000","Violations were cited in the following area(s).","Critical","9","A","Pre-permit (Operational) / Initial Inspection","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan."
"50149114","PURE BISTRO","Brooklyn","American","2024-04-05T00:00:00.000","Violations were cited in the following area(s).","Not Critical","12","A","Pre-permit (Operational) / Initial Inspection","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit."
"50177848","CHYELLE","Brooklyn","Coffee/Tea","2026-01-07T00:00:00.000","Violations were cited in the following area(s).","Not Critical",,,"Administrative Miscellaneous / Initial Inspection","Allergen or intolerance notice not translated into common language when required"
"50045675","MOMO RAMEN","Brooklyn","Soups","2025-11-26T00:00:00.000","Violations were cited in the following area(s).","Critical","27",,"Cycle Inspection / Initial Inspection","Evidence of mice or live mice in establishment's food or non-food areas."
"50148015","GERMAN DONER KEBAB","Brooklyn","German","2025-01-28T00:00:00.000","Violations were cited in the following area(s).","Critical","13","A","Pre-permit (Operational) / Initial Inspection","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored."
"50116306","DANNY'S GRILL","Queens","Barbecue","2025-10-22T00:00:00.000","Establishment re-closed by DOHMH.","Critical","18",,"Cycle Inspection / Reopening Inspection","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor."
"41220085","MAGIC WOK","Queens","Chinese","2023-04-25T00:00:00.000","Violations were cited in the following area(s).","Not Critical","4","A","Cycle Inspection / Initial Inspection","Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE"
"50055324","969 NYC COFFEE","Queens","Japanese","2024-03-08T00:00:00.000","Violations were cited in the following area(s).","Critical","12","A","Cycle Inspection / Initial Inspection","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation."
"50102671","GRAND SEAPORT BUFFET","Brooklyn","Chinese","2024-12-12T00:00:00.000","Violations were cited in the following area(s).","Not Critical","13","A","Cycle Inspection / Initial Inspection","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit."
"41197195","AMC THEATRES","Queens","American","2023-03-13T00:00:00.000","Violations were cited in the following area(s).","Not Critical","5","A","Cycle Inspection / Initial Inspection","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit."
"50089228","GINBO'S HAMBURGER HOUSE","Bronx","Hamburgers","2025-07-29T00:00:00.000","Violations were cited in the following area(s).","Not Critical","44",,"Cycle Inspection / Initial Inspection","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests."
"50150567","FLAVORS & CATERING EVENTS","Manhattan","American","2025-12-16T00:00:00.000","Violations were cited in the following area(s).","Critical","40",,"Cycle Inspection / Initial Inspection","No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device."
"50168301","ALTAMIRANO'S ITALIAN RISTORANTE","Manhattan","Italian","2025-04-28T00:00:00.000","Violations were cited in the following area(s).","Not Critical",,,"Administrative Miscellaneous / Initial Inspection","Failure to post or conspicuously post healthy eating information"
"41215423","POPEYES","Brooklyn","Chicken","2023-04-06T00:00:00.000","Violations were cited in the following area(s).","Critical","11","A","Cycle Inspection / Initial Inspection","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container.  Condiments not in single-service containers or dispensed directly by the vendor."
"50152110","FRESH HOT PIZZA","Manhattan","Pizza","2024-08-05T00:00:00.000","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","Critical","64",,"Pre-permit (Operational) / Initial Inspection","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies."
"50108743","HUNTER DELI","Manhattan","Sandwiches/Salads/Mixed Buffet","2022-10-31T00:00:00.000","Establishment re-opened by DOHMH.","Critical","11","P","Cycle Inspection / Reopening Inspection","Evidence of mice or live mice in establishment's food or non-food areas."
"50145129","HEYTEA","Manhattan","Coffee/Tea","2024-05-21T00:00:00.000","Violations were cited in the following area(s).","Critical","13","A","Pre-permit (Operational) / Re-inspection","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses."
"40586239","BROADWAY BAGEL","Manhattan","Bagels/Pretzels","2025-10-30T00:00:00.000","Violations were cited in the following area(s).","Not Critical","26",,"Cycle Inspection / Initial Inspection","Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient."
